#SPECIES-NAME,  TRANSITION-TYPE,  N-LEVEL,  FREQUENCY-[MHZ]
CI  beta       519.000       93.585415
CI  beta       520.000       93.047611
CI  beta       521.000       92.513547
CI  beta       522.000       91.983971
CI  beta       523.000       91.458882
CI  beta       524.000       90.937534
CI  beta       525.000       90.419177
CI  beta       526.000       89.905309
CI  beta       527.000       89.395180
CI  beta       528.000       88.889539
CI  beta       529.000       88.387639
CI  beta       530.000       87.888730
CI  beta       531.000       87.394309
CI  beta       532.000       86.903628
CI  beta       533.000       86.415939
CI  beta       534.000       85.932738
CI  beta       535.000       85.452529
CI  beta       536.000       84.975312
CI  beta       537.000       84.502583
CI  beta       538.000       84.033594
CI  beta       539.000       83.567596
CI  beta       540.000       83.104591
CI  beta       541.000       82.646074
CI  beta       542.000       82.189800
CI  beta       543.000       81.737267
CI  beta       544.000       81.288473
CI  beta       545.000       80.842672
CI  beta       546.000       80.400610
CI  beta       547.000       79.960792
CI  beta       548.000       79.523967
CI  beta       549.000       79.091629
CI  beta       550.000       78.661535
CI  beta       551.000       78.234433
CI  beta       552.000       77.811819
CI  beta       553.000       77.390702
CI  beta       554.000       76.972576
CI  beta       555.000       76.558938
CI  beta       556.000       76.147543
CI  beta       557.000       75.737645
CI  beta       558.000       75.332235
CI  beta       559.000       74.929817
CI  beta       560.000       74.529643
CI  beta       561.000       74.132461
CI  beta       562.000       73.738270
CI  beta       563.000       73.347072
CI  beta       564.000       72.958118
CI  beta       565.000       72.572155
CI  beta       566.000       72.188437
CI  beta       567.000       71.807710
CI  beta       568.000       71.429976
CI  beta       569.000       71.054485
CI  beta       570.000       70.681986
CI  beta       571.000       70.312480
CI  beta       572.000       69.944469
CI  beta       573.000       69.579450
CI  beta       574.000       69.217424
CI  beta       575.000       68.857641
CI  beta       576.000       68.500102
CI  beta       577.000       68.144807
CI  beta       578.000       67.792504
CI  beta       579.000       67.442445
CI  beta       580.000       67.094630
CI  beta       581.000       66.749807
CI  beta       582.000       66.407228
CI  beta       583.000       66.066145
CI  beta       584.000       65.727306
CI  beta       585.000       65.391459
CI  beta       586.000       65.058604
CI  beta       587.000       64.727245
CI  beta       588.000       64.398129
CI  beta       589.000       64.071258
CI  beta       590.000       63.745883
CI  beta       591.000       63.423499
CI  beta       592.000       63.104108
CI  beta       593.000       62.785465
CI  beta       594.000       62.469065
CI  beta       595.000       62.155658
CI  beta       596.000       61.843746
CI  beta       597.000       61.533331
CI  beta       598.000       61.225907
CI  beta       599.000       60.920728
CI  beta       600.000       60.617044
CI  beta       601.000       60.315604
CI  beta       602.000       60.015661
CI  beta       603.000       59.717961
CI  beta       604.000       59.422505
CI  beta       605.000       59.129293
CI  beta       606.000       58.837578
CI  beta       607.000       58.547358
CI  beta       608.000       58.259382
CI  beta       609.000       57.972902
CI  beta       610.000       57.688666
CI  beta       611.000       57.406674
CI  beta       612.000       57.126178
CI  beta       613.000       56.847926
CI  beta       614.000       56.571170
CI  beta       615.000       56.295910
CI  beta       616.000       56.022146
CI  beta       617.000       55.750626
CI  beta       618.000       55.481350
CI  beta       619.000       55.212822
CI  beta       620.000       54.946538
CI  beta       621.000       54.682498
CI  beta       622.000       54.419206
CI  beta       623.000       54.158157
CI  beta       624.000       53.898605
CI  beta       625.000       53.640549
CI  beta       626.000       53.384736
CI  beta       627.000       53.129672
CI  beta       628.000       52.876852
CI  beta       629.000       52.625527
CI  beta       630.000       52.375699
CI  beta       631.000       52.127367
CI  beta       632.000       51.880530
CI  beta       633.000       51.635938
CI  beta       634.000       51.392093
CI  beta       635.000       51.149745
CI  beta       636.000       50.909640
CI  beta       637.000       50.671032
CI  beta       638.000       50.433171
CI  beta       639.000       50.196807
CI  beta       640.000       49.961938
CI  beta       641.000       49.729313
CI  beta       642.000       49.498185
CI  beta       643.000       49.267056
CI  beta       644.000       49.038171
CI  beta       645.000       48.811531
CI  beta       646.000       48.585638
CI  beta       647.000       48.360493
CI  beta       648.000       48.136844
CI  beta       649.000       47.915440
CI  beta       650.000       47.695531
CI  beta       651.000       47.476370
CI  beta       652.000       47.257957
CI  beta       653.000       47.041788
CI  beta       654.000       46.827115
CI  beta       655.000       46.612442
CI  beta       656.000       46.400013
CI  beta       657.000       46.189080
CI  beta       658.000       45.978895
CI  beta       659.000       45.770954
CI  beta       660.000       45.563761
CI  beta       661.000       45.356568
CI  beta       662.000       45.151619
CI  beta       663.000       44.948166
CI  beta       664.000       44.745461
CI  beta       665.000       44.545000
CI  beta       666.000       44.344539
CI  beta       667.000       44.145574
CI  beta       668.000       43.948105
CI  beta       669.000       43.751384
CI  beta       670.000       43.556159
CI  beta       671.000       43.361681
CI  beta       672.000       43.169448
CI  beta       673.000       42.977215
CI  beta       674.000       42.785730
CI  beta       675.000       42.596488
CI  beta       676.000       42.408743
CI  beta       677.000       42.220998
CI  beta       678.000       42.034748
CI  beta       679.000       41.849995
CI  beta       680.000       41.665242
CI  beta       681.000       41.481984
CI  beta       682.000       41.300223
CI  beta       683.000       41.119958
CI  beta       684.000       40.939692
CI  beta       685.000       40.760923
CI  beta       686.000       40.583649
CI  beta       687.000       40.406376
CI  beta       688.000       40.230599
CI  beta       689.000       40.056317
CI  beta       690.000       39.882784
CI  beta       691.000       39.709998
CI  beta       692.000       39.537961
CI  beta       693.000       39.367419
CI  beta       694.000       39.198373
CI  beta       695.000       39.029328
CI  beta       696.000       38.861030
CI  beta       697.000       38.694229
CI  beta       698.000       38.528923
CI  beta       699.000       38.364366
CI  beta       700.000       38.199808
CI  beta       701.000       38.036746
CI  beta       702.000       37.875181
CI  beta       703.000       37.713615
CI  beta       704.000       37.552797
CI  beta       705.000       37.394224
CI  beta       706.000       37.235650
CI  beta       707.000       37.077824
CI  beta       708.000       36.921494
CI  beta       709.000       36.765913
CI  beta       710.000       36.611079
CI  beta       711.000       36.456245
CI  beta       712.000       36.303655
CI  beta       713.000       36.151066
CI  beta       714.000       35.999224
CI  beta       715.000       35.849626
CI  beta       716.000       35.699280
CI  beta       717.000       35.549682
CI  beta       718.000       35.402328
CI  beta       719.000       35.254974
CI  beta       720.000       35.108369
CI  beta       721.000       34.963259
CI  beta       722.000       34.818149
CI  beta       723.000       34.673413
CI  beta       724.000       34.530173
CI  beta       725.000       34.388055
CI  beta       726.000       34.246311
CI  beta       727.000       34.105315
CI  beta       728.000       33.965067
CI  beta       729.000       33.825941
CI  beta       730.000       33.687189
CI  beta       731.000       33.549185
CI  beta       732.000       33.412303
CI  beta       733.000       33.275795
CI  beta       734.000       33.140035
CI  beta       735.000       33.005397
CI  beta       736.000       32.871133
CI  beta       737.000       32.737617
CI  beta       738.000       32.605223
CI  beta       739.000       32.472829
CI  beta       740.000       32.341557
CI  beta       741.000       32.211032
CI  beta       742.000       32.081256
CI  beta       743.000       31.952228
CI  beta       744.000       31.823200
CI  beta       745.000       31.695668
CI  beta       746.000       31.568884
CI  beta       747.000       31.442100
CI  beta       748.000       31.316063
CI  beta       749.000       31.191149
CI  beta       750.000       31.066983
CI  beta       751.000       30.943191
CI  beta       752.000       30.819773
CI  beta       753.000       30.697476
CI  beta       754.000       30.575928
CI  beta       755.000       30.454380
CI  beta       756.000       30.333954
CI  beta       757.000       30.213901
CI  beta       758.000       30.094597
CI  beta       759.000       29.976415
CI  beta       760.000       29.858232
CI  beta       761.000       29.740424
CI  beta       762.000       29.623738
CI  beta       763.000       29.507800
CI  beta       764.000       29.392235
CI  beta       765.000       29.277419
CI  beta       766.000       29.162977
CI  beta       767.000       29.049282
CI  beta       768.000       28.935962
CI  beta       769.000       28.823015
CI  beta       770.000       28.711191
CI  beta       771.000       28.600115
CI  beta       772.000       28.489412
CI  beta       773.000       28.378710
CI  beta       774.000       28.268755
CI  beta       775.000       28.159923
CI  beta       776.000       28.051465
CI  beta       777.000       27.943380
CI  beta       778.000       27.835670
CI  beta       779.000       27.728707
CI  beta       780.000       27.622867
CI  beta       781.000       27.517026
CI  beta       782.000       27.411186
CI  beta       783.000       27.306467
CI  beta       784.000       27.202497
CI  beta       785.000       27.098900
CI  beta       786.000       26.995678
CI  beta       787.000       26.892829
CI  beta       788.000       26.790729
CI  beta       789.000       26.689002
CI  beta       790.000       26.588024
CI  beta       791.000       26.487419
CI  beta       792.000       26.387563
CI  beta       793.000       26.288080
CI  beta       794.000       26.188598
CI  beta       795.000       26.090237
CI  beta       796.000       25.992250
CI  beta       797.000       25.894264
CI  beta       798.000       25.797399
