#SPECIES-NAME,  TRANSITION-TYPE,  N-LEVEL,  FREQUENCY-[MHZ]
CI  delta       465.000       258.40932
CI  delta       466.000       256.75776
CI  delta       467.000       255.11817
CI  delta       468.000       253.49354
CI  delta       469.000       251.88386
CI  delta       470.000       250.28466
CI  delta       471.000       248.70192
CI  delta       472.000       247.13114
CI  delta       473.000       245.57233
CI  delta       474.000       244.02848
CI  delta       475.000       242.49510
CI  delta       476.000       240.97669
CI  delta       477.000       239.47173
CI  delta       478.000       237.97725
CI  delta       479.000       236.49773
CI  delta       480.000       235.02868
CI  delta       481.000       233.57010
CI  delta       482.000       232.12648
CI  delta       483.000       230.69333
CI  delta       484.000       229.27065
CI  delta       485.000       227.86294
CI  delta       486.000       226.46420
CI  delta       487.000       225.07743
CI  delta       488.000       223.70412
CI  delta       489.000       222.33829
CI  delta       490.000       220.98593
CI  delta       491.000       219.64403
CI  delta       492.000       218.31112
CI  delta       493.000       216.99166
CI  delta       494.000       215.68268
CI  delta       495.000       214.38268
CI  delta       496.000       213.09464
CI  delta       497.000       211.81558
CI  delta       498.000       210.54699
CI  delta       499.000       209.28887
CI  delta       500.000       208.03973
CI  delta       501.000       206.80256
CI  delta       502.000       205.57286
CI  delta       503.000       204.35364
CI  delta       504.000       203.14638
CI  delta       505.000       201.94511
CI  delta       506.000       200.75581
CI  delta       507.000       199.57548
CI  delta       508.000       198.40264
CI  delta       509.000       197.24026
CI  delta       510.000       196.08686
CI  delta       511.000       194.94169
CI  delta       512.000       193.80699
CI  delta       513.000       192.68052
CI  delta       514.000       191.56153
CI  delta       515.000       190.45301
CI  delta       516.000       189.35122
CI  delta       517.000       188.25916
CI  delta       518.000       187.17532
CI  delta       519.000       186.09896
CI  delta       520.000       185.03158
CI  delta       521.000       183.97243
CI  delta       522.000       182.92150
CI  delta       523.000       181.87806
CI  delta       524.000       180.84284
CI  delta       525.000       179.81436
CI  delta       526.000       178.79485
CI  delta       527.000       177.78282
CI  delta       528.000       176.77827
CI  delta       529.000       175.78195
CI  delta       530.000       174.79236
CI  delta       531.000       173.81025
CI  delta       532.000       172.83637
CI  delta       533.000       171.86847
CI  delta       534.000       170.90805
CI  delta       535.000       169.95511
CI  delta       536.000       169.00891
CI  delta       537.000       168.07018
CI  delta       538.000       167.13818
CI  delta       539.000       166.21367
CI  delta       540.000       165.29439
CI  delta       541.000       164.38334
CI  delta       542.000       163.47827
CI  delta       543.000       162.57994
CI  delta       544.000       161.68908
CI  delta       545.000       160.80346
CI  delta       546.000       159.92458
CI  delta       547.000       159.05242
CI  delta       548.000       158.18550
CI  delta       549.000       157.32606
CI  delta       550.000       156.47335
CI  delta       551.000       155.62513
CI  delta       552.000       154.78439
CI  delta       553.000       153.94964
CI  delta       554.000       153.12012
CI  delta       555.000       152.29658
CI  delta       556.000       151.47978
CI  delta       557.000       150.66746
