#SPECIES-NAME,  TRANSITION-TYPE,  N-LEVEL,  FREQUENCY-[MHZ]
CI  alpha       559.000       37.565513
CI  alpha       560.000       37.364304
CI  alpha       561.000       37.165339
CI  alpha       562.000       36.967122
CI  alpha       563.000       36.771149
CI  alpha       564.000       36.575923
CI  alpha       565.000       36.382194
CI  alpha       566.000       36.189961
CI  alpha       567.000       35.998476
CI  alpha       568.000       35.809234
CI  alpha       569.000       35.620741
CI  alpha       570.000       35.433744
CI  alpha       571.000       35.248243
CI  alpha       572.000       35.064237
CI  alpha       573.000       34.880232
CI  alpha       574.000       34.699219
CI  alpha       575.000       34.518205
CI  alpha       576.000       34.339436
CI  alpha       577.000       34.160666
CI  alpha       578.000       33.984141
CI  alpha       579.000       33.808363
CI  alpha       580.000       33.634082
CI  alpha       581.000       33.460548
CI  alpha       582.000       33.289259
CI  alpha       583.000       33.117969
CI  alpha       584.000       32.948176
CI  alpha       585.000       32.779130
CI  alpha       586.000       32.612329
CI  alpha       587.000       32.446275
CI  alpha       588.000       32.280969
CI  alpha       589.000       32.117160
CI  alpha       590.000       31.954098
CI  alpha       591.000       31.791785
CI  alpha       592.000       31.631715
CI  alpha       593.000       31.472393
CI  alpha       594.000       31.313071
CI  alpha       595.000       31.155994
CI  alpha       596.000       30.999664
CI  alpha       597.000       30.844082
CI  alpha       598.000       30.689248
CI  alpha       599.000       30.536659
CI  alpha       600.000       30.384069
CI  alpha       601.000       30.232975
CI  alpha       602.000       30.082629
CI  alpha       603.000       29.933031
CI  alpha       604.000       29.784930
CI  alpha       605.000       29.637576
CI  alpha       606.000       29.491718
CI  alpha       607.000       29.345860
CI  alpha       608.000       29.201498
CI  alpha       609.000       29.057884
CI  alpha       610.000       28.915018
CI  alpha       611.000       28.773648
CI  alpha       612.000       28.633026
CI  alpha       613.000       28.493152
CI  alpha       614.000       28.354774
CI  alpha       615.000       28.216396
CI  alpha       616.000       28.079514
CI  alpha       617.000       27.942632
CI  alpha       618.000       27.807994
CI  alpha       619.000       27.673356
CI  alpha       620.000       27.539466
CI  alpha       621.000       27.407072
CI  alpha       622.000       27.275426
CI  alpha       623.000       27.143780
CI  alpha       624.000       27.014378
CI  alpha       625.000       26.884227
CI  alpha       626.000       26.756321
CI  alpha       627.000       26.628415
CI  alpha       628.000       26.501257
CI  alpha       629.000       26.375595
CI  alpha       630.000       26.249933
CI  alpha       631.000       26.125766
CI  alpha       632.000       26.001600
CI  alpha       633.000       25.878930
CI  alpha       634.000       25.757008
CI  alpha       635.000       25.635086
CI  alpha       636.000       25.514659
CI  alpha       637.000       25.394981
CI  alpha       638.000       25.276051
CI  alpha       639.000       25.157120
CI  alpha       640.000       25.039686
CI  alpha       641.000       24.922252
CI  alpha       642.000       24.807061
CI  alpha       643.000       24.691123
CI  alpha       644.000       24.575933
CI  alpha       645.000       24.462238
CI  alpha       646.000       24.349292
CI  alpha       647.000       24.236346
CI  alpha       648.000       24.124147
CI  alpha       649.000       24.012697
CI  alpha       650.000       23.902743
CI  alpha       651.000       23.792788
CI  alpha       652.000       23.683582
CI  alpha       653.000       23.574375
CI  alpha       654.000       23.467413
CI  alpha       655.000       23.359702
CI  alpha       656.000       23.252740
CI  alpha       657.000       23.147273
CI  alpha       658.000       23.041807
CI  alpha       659.000       22.937089
CI  alpha       660.000       22.833866
CI  alpha       661.000       22.729895
CI  alpha       662.000       22.626673
CI  alpha       663.000       22.524946
CI  alpha       664.000       22.423220
CI  alpha       665.000       22.322241
CI  alpha       666.000       22.222759
CI  alpha       667.000       22.121780
CI  alpha       668.000       22.023794
CI  alpha       669.000       21.924311
CI  alpha       670.000       21.827073
CI  alpha       671.000       21.729086
CI  alpha       672.000       21.632595
CI  alpha       673.000       21.536853
CI  alpha       674.000       21.440362
CI  alpha       675.000       21.345368
CI  alpha       676.000       21.251121
CI  alpha       677.000       21.157622
CI  alpha       678.000       21.063376
CI  alpha       679.000       20.971373
CI  alpha       680.000       20.878622
CI  alpha       681.000       20.786620
CI  alpha       682.000       20.695365
CI  alpha       683.000       20.604858
CI  alpha       684.000       20.515100
CI  alpha       685.000       20.424593
CI  alpha       686.000       20.336330
CI  alpha       687.000       20.247319
CI  alpha       688.000       20.159057
CI  alpha       689.000       20.071542
CI  alpha       690.000       19.984775
CI  alpha       691.000       19.898008
CI  alpha       692.000       19.811990
CI  alpha       693.000       19.725971
CI  alpha       694.000       19.641448
CI  alpha       695.000       19.556925
CI  alpha       696.000       19.472403
CI  alpha       697.000       19.388628
CI  alpha       698.000       19.305601
CI  alpha       699.000       19.223322
CI  alpha       700.000       19.141043
CI  alpha       701.000       19.058765
CI  alpha       702.000       18.977982
CI  alpha       703.000       18.897199
CI  alpha       704.000       18.816416
CI  alpha       705.000       18.736381
CI  alpha       706.000       18.657842
CI  alpha       707.000       18.577808
CI  alpha       708.000       18.500017
CI  alpha       709.000       18.421478
CI  alpha       710.000       18.344435
CI  alpha       711.000       18.266644
CI  alpha       712.000       18.189601
CI  alpha       713.000       18.114054
CI  alpha       714.000       18.037011
CI  alpha       715.000       17.962212
CI  alpha       716.000       17.887413
CI  alpha       717.000       17.811867
CI  alpha       718.000       17.737816
CI  alpha       719.000       17.664513
CI  alpha       720.000       17.590462
CI  alpha       721.000       17.517907
CI  alpha       722.000       17.445352
CI  alpha       723.000       17.372797
CI  alpha       724.000       17.300616
CI  alpha       725.000       17.229557
CI  alpha       726.000       17.158498
CI  alpha       727.000       17.087813
CI  alpha       728.000       17.017502
CI  alpha       729.000       16.947565
CI  alpha       730.000       16.878376
CI  alpha       731.000       16.808813
CI  alpha       732.000       16.740372
CI  alpha       733.000       16.671931
CI  alpha       734.000       16.603864
CI  alpha       735.000       16.536171
CI  alpha       736.000       16.469226
CI  alpha       737.000       16.401907
CI  alpha       738.000       16.335710
CI  alpha       739.000       16.269513
CI  alpha       740.000       16.203316
CI  alpha       741.000       16.138241
CI  alpha       742.000       16.072792
CI  alpha       743.000       16.008465
CI  alpha       744.000       15.943764
CI  alpha       745.000       15.879437
CI  alpha       746.000       15.816231
CI  alpha       747.000       15.752652
CI  alpha       748.000       15.689447
CI  alpha       749.000       15.626616
CI  alpha       750.000       15.564533
CI  alpha       751.000       15.502450
CI  alpha       752.000       15.440741
CI  alpha       753.000       15.379032
CI  alpha       754.000       15.318445
CI  alpha       755.000       15.257483
CI  alpha       756.000       15.196896
CI  alpha       757.000       15.137057
CI  alpha       758.000       15.076844
CI  alpha       759.000       15.017753
CI  alpha       760.000       14.958662
CI  alpha       761.000       14.899571
CI  alpha       762.000       14.840854
CI  alpha       763.000       14.782884
CI  alpha       764.000       14.724915
CI  alpha       765.000       14.667320
CI  alpha       766.000       14.610099
CI  alpha       767.000       14.552878
CI  alpha       768.000       14.496404
CI  alpha       769.000       14.439557
CI  alpha       770.000       14.383458
CI  alpha       771.000       14.327733
