#SPECIES-NAME,  TRANSITION-TYPE,  N-LEVEL,  FREQUENCY-[MHZ]
CI  gamma       724.000       51.688671
CI  gamma       725.000       51.475868
CI  gamma       726.000       51.263813
CI  gamma       727.000       51.052880
CI  gamma       728.000       50.843443
CI  gamma       729.000       50.634754
CI  gamma       730.000       50.427561
CI  gamma       731.000       50.221116
CI  gamma       732.000       50.016167
CI  gamma       733.000       49.811966
CI  gamma       734.000       49.609261
CI  gamma       735.000       49.407304
CI  gamma       736.000       49.206843
CI  gamma       737.000       49.007130
CI  gamma       738.000       48.808539
CI  gamma       739.000       48.611069
CI  gamma       740.000       48.414348
CI  gamma       741.000       48.219497
CI  gamma       742.000       48.025020
CI  gamma       743.000       47.831665
CI  gamma       744.000       47.639431
CI  gamma       745.000       47.448320
CI  gamma       746.000       47.258331
CI  gamma       747.000       47.068716
CI  gamma       748.000       46.880596
CI  gamma       749.000       46.693599
CI  gamma       750.000       46.507724
CI  gamma       751.000       46.322223
CI  gamma       752.000       46.138217
CI  gamma       753.000       45.954960
CI  gamma       754.000       45.772824
CI  gamma       755.000       45.591437
CI  gamma       756.000       45.410798
CI  gamma       757.000       45.231654
CI  gamma       758.000       45.053259
CI  gamma       759.000       44.875985
CI  gamma       760.000       44.699086
CI  gamma       761.000       44.523309
CI  gamma       762.000       44.348653
CI  gamma       763.000       44.175120
CI  gamma       764.000       44.002334
CI  gamma       765.000       43.830297
CI  gamma       766.000       43.659381
CI  gamma       767.000       43.488839
CI  gamma       768.000       43.319420
CI  gamma       769.000       43.150748
CI  gamma       770.000       42.983573
CI  gamma       771.000       42.817145
CI  gamma       772.000       42.651092
CI  gamma       773.000       42.485786
CI  gamma       774.000       42.321602
CI  gamma       775.000       42.158541
CI  gamma       776.000       41.996227
CI  gamma       777.000       41.834287
CI  gamma       778.000       41.673470
CI  gamma       779.000       41.513774
CI  gamma       780.000       41.354826
CI  gamma       781.000       41.196253
CI  gamma       782.000       41.038427
CI  gamma       783.000       40.881723
CI  gamma       784.000       40.726141
CI  gamma       785.000       40.570934
CI  gamma       786.000       40.416474
CI  gamma       787.000       40.262762
CI  gamma       788.000       40.109798
CI  gamma       789.000       39.957957
CI  gamma       790.000       39.806489
CI  gamma       791.000       39.656517
CI  gamma       792.000       39.506545
CI  gamma       793.000       39.357695
CI  gamma       794.000       39.209219
CI  gamma       795.000       39.061865
CI  gamma       796.000       38.914886
CI  gamma       797.000       38.769028
CI  gamma       798.000       38.623544
CI  gamma       799.000       38.479182
CI  gamma       800.000       38.335194
CI  gamma       801.000       38.192328
CI  gamma       802.000       38.049836
CI  gamma       803.000       37.908092
CI  gamma       804.000       37.766722
CI  gamma       805.000       37.626848
CI  gamma       806.000       37.486974
CI  gamma       807.000       37.348222
CI  gamma       808.000       37.209844
CI  gamma       809.000       37.072588
CI  gamma       810.000       36.935706
CI  gamma       811.000       36.799198
CI  gamma       812.000       36.663438
CI  gamma       813.000       36.528800
CI  gamma       814.000       36.394536
CI  gamma       815.000       36.261020
CI  gamma       816.000       36.128252
CI  gamma       817.000       35.996232
CI  gamma       818.000       35.864586
CI  gamma       819.000       35.733314
CI  gamma       820.000       35.602789
CI  gamma       821.000       35.473013
CI  gamma       822.000       35.343985
CI  gamma       823.000       35.215705
CI  gamma       824.000       35.088173
CI  gamma       825.000       34.961015
CI  gamma       826.000       34.834231
CI  gamma       827.000       34.708194
CI  gamma       828.000       34.582532
CI  gamma       829.000       34.457992
CI  gamma       830.000       34.333826
CI  gamma       831.000       34.210408
CI  gamma       832.000       34.087363
CI  gamma       833.000       33.964693
CI  gamma       834.000       33.843145
CI  gamma       835.000       33.721971
CI  gamma       836.000       33.601170
CI  gamma       837.000       33.481118
CI  gamma       838.000       33.361440
CI  gamma       839.000       33.242884
CI  gamma       840.000       33.124327
CI  gamma       841.000       33.006519
CI  gamma       842.000       32.889085
CI  gamma       843.000       32.772398
CI  gamma       844.000       32.656460
CI  gamma       845.000       32.540896
